emission_source_id,emission_source,emission_type_id,mapping_string
91275077,Average business travel car - Battery Electric Vehicle,8141,average business travel car - battery electric vehicle
91275078,Average business travel car - Plug-in Hybrid Electric Vehicle,8141,average business travel car - plug-in hybrid electric vehicle
91275079,Average car - Diesel,8141,average car - diesel
91275080,Average car - Hybrid,8141,average car - hybrid
91275081,Average car - Petrol,8141,average car - petrol
91275082,Average car - Unknown,8141,average car - unknown
91275083,Average fleet car - Battery Electric Vehicle,8141,average fleet car - battery electric vehicle
91275084,Average fleet car - Plug-in Hybrid Electric Vehicle,8141,average fleet car - plug-in hybrid electric vehicle
91275085,Large business travel car - Battery Electric Vehicle,8141,large business travel car - battery electric vehicle
91275086,Large business travel car - Plug-in Hybrid Electric Vehicle,8141,large business travel car - plug-in hybrid electric vehicle
91275087,Large car - Diesel,8141,large car - diesel
91275088,Large car - Hybrid,8141,large car - hybrid
91275089,Large car - Petrol,8141,large car - petrol
91275090,Large car - Unknown,8141,large car - unknown
91275091,Large fleet car - Battery Electric Vehicle,8141,large fleet car - battery electric vehicle
91275092,Large fleet car - Plug-in Hybrid Electric Vehicle,8141,large fleet car - plug-in hybrid electric vehicle
91275093,Medium business travel car - Battery Electric Vehicle,8141,medium business travel car - battery electric vehicle
91275094,Medium business travel car - Plug-in Hybrid Electric Vehicle,8141,medium business travel car - plug-in hybrid electric vehicle
91275095,Medium car - Diesel,8141,medium car - diesel
91275096,Medium car - Hybrid,8141,medium car - hybrid
91275097,Medium car - Petrol,8141,medium car - petrol
91275098,Medium car - Unknown,8141,medium car - unknown
91275099,Medium fleet car - Battery Electric Vehicle,8141,medium fleet car - battery electric vehicle
91275100,Medium fleet car - Plug-in Hybrid Electric Vehicle,8141,medium fleet car - plug-in hybrid electric vehicle
91275101,Motorbike - Average,8141,motorbike - average
91275102,Small business travel car - Battery Electric Vehicle,8141,small business travel car - battery electric vehicle
91275103,Small business travel car - Plug-in Hybrid Electric Vehicle,8141,small business travel car - plug-in hybrid electric vehicle
91275104,Small car - Diesel,8141,small car - diesel
91275105,Small car - Hybrid,8141,small car - hybrid
91275106,Small car - Petrol,8141,small car - petrol
91275107,Small car - Unknown,8141,small car - unknown
91275108,Small fleet car - Battery Electric Vehicle,8141,small fleet car - battery electric vehicle
91275109,Small fleet car - Plug-in Hybrid Electric Vehicle,8141,small fleet car - plug-in hybrid electric vehicle
91275110,Average local bus,8142,average local bus
91275111,Black cab,8142,black cab
91275112,Coach,8142,coach
91275113,Ferry - Average (all passenger),8142,ferry - average (all passenger)
91275114,Ferry - Car passenger,8142,ferry - car passenger
91275115,Ferry - Foot passenger,8142,ferry - foot passenger
91275116,"Flights - Domestic, to/from UK - Average passenger",8142,"flights - domestic, to/from uk - average passenger"
91275117,"Flights - International, to/from non-UK - Average passenger",8142,"flights - international, to/from non-uk - average passenger"
91275118,"Flights - International, to/from non-UK - Business class",8142,"flights - international, to/from non-uk - business class"
91275119,"Flights - International, to/from non-UK - Economy class",8142,"flights - international, to/from non-uk - economy class"
91275120,"Flights - International, to/from non-UK - First class",8142,"flights - international, to/from non-uk - first class"
